 Year     Month     Portfolio Value   Monthly Dividends     Cumulative Dividends
--------------------------------------------------------------------------------
    0         1             5540.82               18.41                    18.41
    0         2             6085.69               20.27                    38.68
    0         3             6634.68               22.15                    60.83
    0         4             7187.80               24.06                    84.88
    0         5             7745.11               25.99                   110.87
    0         6             8306.64               27.94                   138.81
    0         7             8872.43               29.91                   168.72
    0         8             9442.53               31.91                   200.63
    0         9            10016.97               33.94                   234.57
    0        10            10595.81               35.99                   270.56
    0        11            11179.08               38.06                   308.62
    0        12            11766.82               40.16                   348.79
    1         1            12359.09               42.29                   391.07
    1         2            12955.91               44.44                   435.51
    1         3            13557.35               46.62                   482.13
    1         4            14163.44               48.82                   530.95
    1         5            14774.23               51.05                   582.00
    1         6            15389.77               53.31                   635.31
    1         7            16010.10               55.59                   690.90
    1         8            16635.27               57.91                   748.80
    1         9            17265.33               60.25                   809.05
    1        10            17900.32               62.62                   871.67
    1        11            18540.30               65.01                   936.68
    1        12            19185.31               67.44                  1004.12
    2         1            19835.41               69.90                  1074.02
    2         2            20490.64               72.38                  1146.40
    2         3            21151.06               74.90                  1221.30
    2         4            21816.72               77.45                  1298.75
    2         5            22487.67               80.03                  1378.78
    2         6            23163.96               82.63                  1461.41
    2         7            23845.64               85.28                  1546.69
    2         8            24532.78               87.95                  1634.63
    2         9            25225.42               90.65                  1725.29
    2        10            25923.62               93.39                  1818.68
    2        11            26627.43               96.16                  1914.84
    2        12            27336.92               98.97                  2013.81
    3         1            28052.14              101.81                  2115.62
    3         2            28773.15              104.68                  2220.30
    3         3            29500.00              107.59                  2327.89
    3         4            30232.75              110.53                  2438.42
    3         5            30971.47              113.51                  2551.93
    3         6            31716.22              116.53                  2668.46
    3         7            32467.05              119.58                  2788.03
    3         8            33224.02              122.67                  2910.70
    3         9            33987.21              125.79                  3036.49
    3        10            34756.67              128.96                  3165.45
    3        11            35532.47              132.16                  3297.61
    3        12            36314.67              135.40                  3433.01
    4         1            37103.34              138.68                  3571.69
    4         2            37898.54              142.00                  3713.69
    4         3            38700.34              145.36                  3859.05
    4         4            39508.81              148.76                  4007.81
    4         5            40324.02              152.20                  4160.01
    4         6            41146.03              155.69                  4315.70
    4         7            41974.92              159.22                  4474.92
    4         8            42810.75              162.78                  4637.70
    4         9            43653.60              166.40                  4804.10
    4        10            44503.54              170.05                  4974.16
    4        11            45360.65              173.76                  5147.91
    4        12            46224.99              177.50                  5325.41
    5         1            47096.65              181.29                  5506.70
    5         2            47975.69              185.13                  5691.83
    5         3            48862.20              189.01                  5880.85
    5         4            49756.25              192.95                  6073.79
    5         5            50657.93              196.92                  6270.72
    5         6            51567.30              200.95                  6471.67
    5         7            52484.46              205.03                  6676.70
    5         8            53409.48              209.15                  6885.85
    5         9            54342.45              213.33                  7099.18
    5        10            55283.44              217.56                  7316.74
    5        11            56232.54              221.84                  7538.58
    5        12            57189.85              226.17                  7764.75
    6         1            58155.43              230.55                  7995.30
    6         2            59129.39              234.99                  8230.29
    6         3            60111.81              239.48                  8469.77
    6         4            61102.77              244.03                  8713.79
    6         5            62102.38              248.63                  8962.42
    6         6            63110.71              253.28                  9215.70
    6         7            64127.87              258.00                  9473.70
    6         8            65153.94              262.77                  9736.47
    6         9            66189.02              267.60                 10004.07
    6        10            67233.21              272.49                 10276.56
    6        11            68286.60              277.44                 10554.00
    6        12            69349.30              282.45                 10836.45
    7         1            70421.39              287.52                 11123.97
    7         2            71502.99              292.65                 11416.62
    7         3            72594.18              297.85                 11714.47
    7         4            73695.09              303.11                 12017.57
    7         5            74805.80              308.43                 12326.01
    7         6            75926.42              313.82                 12639.83
    7         7            77057.07              319.28                 12959.10
    7         8            78197.85              324.80                 13283.90
    7         9            79348.86              330.39                 13614.29
    7        10            80510.22              336.05                 13950.34
    7        11            81682.05              341.78                 14292.12
    7        12            82864.44              347.58                 14639.69
    8         1            84057.53              353.45                 14993.14
    8         2            85261.41              359.39                 15352.53
    8         3            86476.22              365.40                 15717.93
    8         4            87702.07              371.49                 16089.43
    8         5            88939.07              377.66                 16467.09
    8         6            90187.36              383.90                 16850.99
    8         7            91447.05              390.22                 17241.21
    8         8            92718.26              396.61                 17637.82
    8         9            94001.14              403.09                 18040.91
    8        10            95295.79              409.64                 18450.55
    8        11            96602.36              416.28                 18866.83
    8        12            97920.96              423.00                 19289.83
    9         1            99251.74              429.80                 19719.63
    9         2           100594.83              436.69                 20156.32
    9         3           101950.36              443.66                 20599.98
    9         4           103318.47              450.72                 21050.69
    9         5           104699.30              457.86                 21508.56
    9         6           106092.99              465.09                 21973.65
    9         7           107499.68              472.42                 22446.07
    9         8           108919.52              479.83                 22925.90
    9         9           110352.65              487.34                 23413.24
    9        10           111799.22              494.94                 23908.18
    9        11           113259.37              502.64                 24410.82
    9        12           114733.27              510.43                 24921.25
   10         1           116221.06              518.32                 25439.56
   10         2           117722.90              526.30                 25965.87
   10         3           119238.94              534.39                 26500.26
   10         4           120769.35              542.58                 27042.83
   10         5           122314.29              550.87                 27593.70
   10         6           123873.91              559.26                 28152.96
   10         7           125448.38              567.76                 28720.72
   10         8           127037.88              576.37                 29297.09
   10         9           128642.56              585.08                 29882.16
   10        10           130262.60              593.90                 30476.07
   10        11           131898.18              602.83                 31078.90
   10        12           133549.47              611.88                 31690.78
   11         1           135216.64              621.04                 32311.82
   11         2           136899.88              630.31                 32942.13
   11         3           138599.37              639.71                 33581.84
   11         4           140315.29              649.21                 34231.05
   11         5           142047.84              658.84                 34889.90
   11         6           143797.19              668.60                 35558.49
   11         7           145563.55              678.47                 36236.96
   11         8           147347.10              688.47                 36925.43
   11         9           149148.04              698.59                 37624.03
   11        10           150966.57              708.85                 38332.87
   11        11           152802.89              719.23                 39052.10
   11        12           154657.21              729.75                 39781.85
   12         1           156529.74              740.39                 40522.24
   12         2           158420.68              751.18                 41273.42
   12         3           160330.24              762.10                 42035.52
   12         4           162258.64              773.16                 42808.68
   12         5           164206.09              784.36                 43593.04
   12         6           166172.83              795.70                 44388.74
   12         7           168159.06              807.19                 45195.93
   12         8           170165.02              818.82                 46014.75
   12         9           172190.93              830.60                 46845.35
   12        10           174237.04              842.54                 47687.89
